City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,72.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1,Saint George,US,96.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
2,Coahuayana,MX,90.88,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
3,Arraial Do Cabo,BR,67.86,few clouds,-22.9661,-42.0278,Pousada Porto Praia
4,Jamestown,US,70.3,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
6,Nikolskoye,RU,64.02,clear sky,59.7035,30.7861,Tourist House - Sablino
7,Saint-Pierre,RE,67.64,few clouds,-21.3393,55.4781,Lindsey Hôtel
8,Ushuaia,AR,46.06,few clouds,-54.8,-68.3,Albatros Hotel
9,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,Hotel do Campo
10,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Rikitea,PF,69.26,broken clouds,-23.1203,-134.9692,People ThankYou
12,Mutis,CO,82.06,overcast clouds,6.2262,-77.4044,Paraiso Escondido
13,Coracao De Jesus,BR,76.05,scattered clouds,-16.6853,-44.365,Hotel Neves
14,Bredasdorp,ZA,55.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
18,Manokwari,ID,77.72,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
19,Nishihara,JP,82.06,scattered clouds,26.1842,127.7558,Minshuku Agaihama
20,Sal Rei,CV,77.56,few clouds,16.1833,-22.9167,Marine Club Beach Resort
21,Grand Gaube,MU,69.39,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
23,Havre-Saint-Pierre,CA,61.05,broken clouds,50.2334,-63.5986,Auberge Niapiskau
24,Emerald,AU,64.98,clear sky,-23.5333,148.1667,The Irish Village
26,Airai,TL,56.01,scattered clouds,-8.9266,125.4092,Juvinal Martin
27,Punta Arenas,CL,46.51,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
28,Lata,PT,68.04,overcast clouds,40.1629,-8.3327,Casa Maquia
29,Tabuk,PH,76.53,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
30,Tasiilaq,GL,57.36,clear sky,65.6145,-37.6368,The Red House
31,Castro,BR,55.67,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
32,Ende,ID,76.93,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
33,East London,ZA,63.39,clear sky,-33.0153,27.9116,Tu Casa
34,Nanning,CN,78.64,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
35,Vardo,NO,56.95,broken clouds,70.3705,31.1107,Vardø Hotel AS
36,Faanui,PF,77.22,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
37,Marawi,PH,70.65,overcast clouds,7.9986,124.2928,Derogongan Residence
38,Orocue,CO,80.53,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
39,Lorengau,PG,82.18,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
40,San Luis,AR,65.28,clear sky,-33.295,-66.3356,Huarpes Hotel
43,Dunedin,NZ,50.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
44,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
47,Yavatmal,IN,75.99,overcast clouds,20.4,78.1333,Palash Inn
49,Beitbridge,ZW,64.47,clear sky,-22.2167,30.0,Beitbridge Express Hotel
50,Husavik,IS,54.81,broken clouds,66.0449,-17.3389,Bjarnabúð
51,Kant,IN,81.28,overcast clouds,27.8,79.8,Haseeb Khan shatreng
53,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
54,San Patricio,US,99.32,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
55,Yangjiang,CN,79.7,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
56,Nanortalik,GL,51.6,light rain,60.1432,-45.2371,Hotel Kap Farvel
57,Solnechnyy,RU,52.43,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
58,Hermanus,ZA,57.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
59,Guerrero Negro,MX,85.6,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
60,Cidreira,BR,59.04,broken clouds,-30.1811,-50.2056,Hotel Castelo
61,Zhongshu,CN,60.66,clear sky,24.5167,103.7667,Xintianlong Hotel
64,Vila,PT,57.74,light rain,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
65,Port Alfred,ZA,61.52,scattered clouds,-33.5906,26.891,The Halyards Hotel
66,Yellowknife,CA,87.33,clear sky,62.456,-114.3525,The Explorer Hotel
68,Labuhan,ID,77.23,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
71,Charters Towers,AU,59.22,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
72,Geraldton,AU,45.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
