City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Puerto Ayora,EC,-0.7393,-90.3518,72.55,90,48,7.0,scattered clouds
1,Saint George,US,37.1041,-113.5841,96.64,31,1,4.0,clear sky
2,Coahuayana,MX,18.7333,-103.6833,90.88,55,6,5.35,clear sky
3,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,68,20,13.8,few clouds
4,Jamestown,US,42.097,-79.2353,70.3,75,75,4.0,broken clouds
5,Salalah,OM,17.0151,54.0924,77.09,94,90,4.61,overcast clouds
6,Nikolskoye,RU,59.7035,30.7861,64.02,78,5,6.33,clear sky
7,Saint-Pierre,RE,-21.3393,55.4781,67.64,72,20,6.91,few clouds
8,Ushuaia,AR,-54.8,-68.3,46.06,49,20,17.27,few clouds
9,Ponta Do Sol,PT,32.6667,-17.1,73.71,76,1,5.41,clear sky
10,Kapaa,US,22.0752,-159.319,82.38,82,90,1.99,light rain
11,Rikitea,PF,-23.1203,-134.9692,69.26,59,79,23.38,broken clouds
12,Mutis,CO,6.2262,-77.4044,82.06,82,93,9.66,overcast clouds
13,Coracao De Jesus,BR,-16.6853,-44.365,76.05,31,38,7.78,scattered clouds
14,Bredasdorp,ZA,-34.5322,20.0403,55.27,80,90,7.27,overcast clouds
15,Saskylakh,RU,71.9167,114.0833,66.56,50,0,4.88,clear sky
16,Busselton,AU,-33.65,115.3333,44.1,77,86,7.34,overcast clouds
17,Tiksi,RU,71.6872,128.8694,44.67,77,28,4.97,scattered clouds
18,Manokwari,ID,-0.8667,134.0833,77.72,83,88,2.3,overcast clouds
19,Nishihara,JP,26.1842,127.7558,82.06,89,40,20.71,scattered clouds
20,Sal Rei,CV,16.1833,-22.9167,77.56,81,20,10.16,few clouds
21,Grand Gaube,MU,-20.0064,57.6608,69.39,79,14,3.0,few clouds
22,Ostrovnoy,RU,68.0531,39.5131,48.83,87,15,8.9,few clouds
23,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.05,75,69,20.92,broken clouds
24,Emerald,AU,-23.5333,148.1667,64.98,52,0,7.7,clear sky
25,Birao,CF,10.2849,22.7882,69.78,95,44,5.46,scattered clouds
26,Airai,TL,-8.9266,125.4092,56.01,86,26,2.71,scattered clouds
27,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,11.5,scattered clouds
28,Lata,PT,40.1629,-8.3327,68.04,96,99,3.0,overcast clouds
29,Tabuk,PH,17.4189,121.4443,76.53,87,100,2.55,light rain
30,Tasiilaq,GL,65.6145,-37.6368,57.36,78,6,5.57,clear sky
31,Castro,BR,-24.7911,-50.0119,55.67,71,72,4.47,broken clouds
32,Ende,ID,-8.8432,121.6623,76.93,88,89,6.38,overcast clouds
33,East London,ZA,-33.0153,27.9116,63.39,57,10,19.01,clear sky
34,Nanning,CN,22.8167,108.3167,78.64,90,100,1.01,overcast clouds
35,Vardo,NO,70.3705,31.1107,56.95,93,75,17.27,broken clouds
36,Faanui,PF,-16.4833,-151.75,77.22,70,54,15.01,broken clouds
37,Marawi,PH,7.9986,124.2928,70.65,94,100,4.18,overcast clouds
38,Orocue,CO,4.7912,-71.3354,80.53,75,88,10.51,overcast clouds
39,Lorengau,PG,-2.0226,147.2712,82.18,77,69,9.46,broken clouds
40,San Luis,AR,-33.295,-66.3356,65.28,18,0,9.19,clear sky
41,Uyaan,PH,7.8631,124.0411,64.71,96,100,3.11,overcast clouds
42,Chokurdakh,RU,70.6333,147.9167,36.64,76,17,6.82,few clouds
43,Dunedin,NZ,-45.8742,170.5036,50.81,80,100,14.0,overcast clouds
44,Vaini,TO,-21.2,-175.2,71.76,83,20,21.85,few clouds
45,Mataura,NZ,-46.1927,168.8643,39.47,98,60,3.91,broken clouds
46,New Norfolk,AU,-42.7826,147.0587,36.75,83,16,2.39,few clouds
47,Yavatmal,IN,20.4,78.1333,75.99,80,100,15.46,overcast clouds
48,Bukama,CD,-9.2,25.85,72.79,36,63,2.77,broken clouds
49,Beitbridge,ZW,-22.2167,30.0,64.47,38,0,5.46,clear sky
50,Husavik,IS,66.0449,-17.3389,54.81,67,72,5.53,broken clouds
51,Kant,IN,27.8,79.8,81.28,87,89,8.61,overcast clouds
52,Aketi,CD,2.7388,23.7833,71.33,87,100,1.88,overcast clouds
53,Avarua,CK,-21.2078,-159.775,75.25,88,75,17.27,moderate rain
54,San Patricio,US,28.017,-97.5169,99.32,40,100,14.79,overcast clouds
55,Yangjiang,CN,21.85,111.9667,79.7,91,97,3.91,overcast clouds
56,Nanortalik,GL,60.1432,-45.2371,51.6,71,100,13.47,light rain
57,Solnechnyy,RU,50.7214,136.6319,52.43,95,96,3.67,overcast clouds
58,Hermanus,ZA,-34.4187,19.2345,57.9,78,96,5.84,overcast clouds
59,Guerrero Negro,MX,27.9769,-114.0611,85.6,51,5,10.6,clear sky
60,Cidreira,BR,-30.1811,-50.2056,59.04,82,81,6.91,broken clouds
61,Zhongshu,CN,24.5167,103.7667,60.66,85,1,3.15,clear sky
62,Hobart,AU,-42.8794,147.3294,37.11,85,20,4.0,few clouds
63,Vostok,RU,46.4856,135.8833,60.39,96,5,4.14,clear sky
64,Vila,PT,42.0304,-8.1588,57.74,91,100,1.88,light rain
65,Port Alfred,ZA,-33.5906,26.891,61.52,79,27,26.62,scattered clouds
66,Yellowknife,CA,62.456,-114.3525,87.33,28,1,11.01,clear sky
67,Bara,NG,10.3744,10.7288,74.57,89,100,3.6,moderate rain
68,Labuhan,ID,-6.8844,112.2051,77.23,75,11,10.36,few clouds
69,Albany,US,42.6001,-73.9662,77.52,75,73,6.69,light rain
70,Dikson,RU,73.5069,80.5464,39.52,99,99,7.27,overcast clouds
71,Charters Towers,AU,-20.1,146.2667,59.22,97,17,5.5,few clouds
72,Geraldton,AU,-28.7667,114.6,45.01,93,5,6.91,clear sky
73,Puquio,PE,-14.7,-74.1333,60.85,37,76,5.44,broken clouds
74,Yumen,CN,40.2833,97.2,68.59,43,93,11.77,overcast clouds
75,Porto Novo,BJ,6.4965,2.6036,76.46,83,63,6.42,broken clouds
